fold,stream,alpha,f1,fired,np,wr
W3_OOS,S4,0.7,1800,30,-253.0,13.3
W3_OOS,S5,0.7,1800,28,-280.0,14.3
W3_OOS,S6,0.7,1800,44,38.0,22.7
W4_IS,S1,0.5,600,28,566.0,28.6
W4_IS,S2,0.5,600,38,812.0,26.3
W4_IS,S3,0.5,600,28,572.0,28.6
W4_IS,S4,0.5,600,28,754.0,28.6
W4_IS,S5,0.5,600,28,517.0,28.6
W4_IS,S6,0.5,600,40,752.0,25.0
W4_IS,S1,0.5,1800,42,297.0,26.2
W4_IS,S2,0.5,1800,66,844.0,24.2
W4_IS,S3,0.5,1800,42,319.0,26.2
W4_IS,S4,0.5,1800,42,578.0,26.2
W4_IS,S5,0.5,1800,38,396.0,26.3
W4_IS,S6,0.5,1800,70,700.0,22.9
W4_IS,S1,0.6,600,28,567.0,28.6
W4_IS,S2,0.6,600,38,375.0,23.7
W4_IS,S3,0.6,600,28,572.0,28.6
W4_IS,S4,0.6,600,28,754.0,28.6
W4_IS,S5,0.6,600,28,517.0,28.6
W4_IS,S6,0.6,600,40,284.0,22.5
W4_IS,S1,0.6,1800,42,305.0,26.2
W4_IS,S2,0.6,1800,66,-22.0,21.2
W4_IS,S3,0.6,1800,42,327.0,26.2
W4_IS,S4,0.6,1800,42,585.0,26.2
W4_IS,S5,0.6,1800,38,396.0,26.3
W4_IS,S6,0.6,1800,70,-99.0,21.4
W4_IS,S1,0.7,600,28,58.0,21.4
W4_IS,S2,0.7,600,38,203.0,23.7
W4_IS,S3,0.7,600,28,64.0,21.4
W4_IS,S4,0.7,600,28,168.0,21.4
W4_IS,S5,0.7,600,28,9.0,21.4
W4_IS,S6,0.7,600,40,140.0,22.5
W4_IS,S1,0.7,1800,42,-196.0,21.4
W4_IS,S2,0.7,1800,66,-159.0,21.2
W4_IS,S3,0.7,1800,42,-174.0,21.4
W4_IS,S4,0.7,1800,42,8.0,21.4
W4_IS,S5,0.7,1800,38,-112.0,21.1
W4_IS,S6,0.7,1800,70,-198.0,21.4
W4_OOS,S1,0.5,600,18,-462.0,11.1
W4_OOS,S2,0.5,600,16,-400.0,12.5
W4_OOS,S3,0.5,600,14,-308.0,14.3
W4_OOS,S4,0.5,600,10,-154.0,20.0
W4_OOS,S5,0.5,600,18,-462.0,11.1
W4_OOS,S6,0.5,600,24,-712.0,8.3
W4_OOS,S1,0.5,1800,22,-501.0,13.6
W4_OOS,S2,0.5,1800,20,-556.0,10.0
W4_OOS,S3,0.5,1800,18,-347.0,16.7
W4_OOS,S4,0.5,1800,14,-193.0,21.4
W4_OOS,S5,0.5,1800,22,-501.0,13.6
W4_OOS,S6,0.5,1800,28,-868.0,7.1
W4_OOS,S1,0.6,600,18,-447.0,11.1
W4_OOS,S2,0.6,600,16,-384.0,12.5
W4_OOS,S3,0.6,600,14,-293.0,14.3
W4_OOS,S4,0.6,600,10,-139.0,20.0
W4_OOS,S5,0.6,600,18,-447.0,11.1
W4_OOS,S6,0.6,600,24,-696.0,8.3
W4_OOS,S1,0.6,1800,22,-477.0,13.6
W4_OOS,S2,0.6,1800,20,-540.0,10.0
W4_OOS,S3,0.6,1800,18,-323.0,16.7
W4_OOS,S4,0.6,1800,14,-169.0,21.4
W4_OOS,S5,0.6,1800,22,-477.0,13.6
W4_OOS,S6,0.6,1800,28,-852.0,7.1
W4_OOS,S1,0.7,600,18,-431.0,11.1
W4_OOS,S2,0.7,600,16,-368.0,12.5
W4_OOS,S3,0.7,600,14,-277.0,14.3
W4_OOS,S4,0.7,600,10,-123.0,20.0
W4_OOS,S5,0.7,600,18,-431.0,11.1
W4_OOS,S6,0.7,600,24,-680.0,8.3
W4_OOS,S1,0.7,1800,22,-454.0,13.6
W4_OOS,S2,0.7,1800,20,-524.0,10.0
W4_OOS,S3,0.7,1800,18,-300.0,16.7
W4_OOS,S4,0.7,1800,14,-146.0,21.4
W4_OOS,S5,0.7,1800,22,-454.0,13.6
W4_OOS,S6,0.7,1800,28,-836.0,7.1
